listing_id,split_group,fold
mubawab.ma:content:132c0e4a98a5fb334e71ef0f,g102,4
mubawab.ma:content:293b3b660161d47295ccbcd2,g103,3
mubawab.ma:native:8316956,g104,0
mubawab.ma:content:3ad8e36c75c289698b2cc939,g106,1
mubawab.ma:content:307e69317092fe9695d88aa6,g107,2
mubawab.ma:content:1ff40d0570bb3f0a7b9a4c82,g108,2
mubawab.ma:content:0fc520cae9910eb42c366715,g109,2
mubawab.ma:content:570eaf632c823a224a0004a4,g110,3
mubawab.ma:content:7d966389d88dcc3a99bc2b15,g111,4
mubawab.ma:content:200b770960f25ec6f813f7e6,g112,2
mubawab.ma:native:8371065,g114,4
mubawab.ma:content:5feba2e591900c70756d73a4,g115,2
mubawab.ma:native:8214832,g116,1
mubawab.ma:native:8321064,g117,0
mubawab.ma:content:039720e975cb55e7ee04791c,g120,4
mubawab.ma:content:01eaedacd137970c64f5ef6c,g121,2
mubawab.ma:native:8147724,g122,1
mubawab.ma:content:c6cbbde2851b2345d8e728d7,g124,0
mubawab.ma:content:f6d1a2359cdfe2efac3fe8db,g125,4
mubawab.ma:content:20721ea7e0ccc309a1f3b546,g126,3
mubawab.ma:content:22b5b0474cccc785ba1a5c65,g130,3
mubawab.ma:native:8380575,g131,1
mubawab.ma:content:e202c6dd25a1ec6e00770efd,g135,2
mubawab.ma:content:b6f92c36e8bfae157328b6bb,g136,2
mubawab.ma:content:ecf50b17aeae951702e31061,g139,4
mubawab.ma:content:2e74bb891eced02ed7d913b1,g140,3
mubawab.ma:content:6af6e82e4887ef880890c12d,g141,2
mubawab.ma:content:3ae4b5399eaea48116ab816e,g142,3
mubawab.ma:content:f92a171b122ea83cf541ede9,g145,3
mubawab.ma:native:8367640,g146,1
mubawab.ma:content:23c6319ca95f91a602a3073c,g147,3
mubawab.ma:native:8405931,g153,2
mubawab.ma:content:4c97a037f875b59cd654b973,g155,1
mubawab.ma:native:8390767,g159,3
mubawab.ma:content:8003d88a527ec3f2ba77facd,g160,1
mubawab.ma:content:6f647d40d9d68a41909257f1,g161,1
mubawab.ma:content:330731acc995636ed1654d7b,g162,0
mubawab.ma:content:f76b8175d329e6efadfc61ea,g164,2
mubawab.ma:content:cfcab362a800f4a71631505c,g165,0
mubawab.ma:content:492117446ac7693a676e6185,g167,4
mubawab.ma:content:18a4046769f3ec0630cf4b91,g168,2
mubawab.ma:content:a443d95077721b34b2bd2bc0,g169,1
mubawab.ma:content:bde1b9ac2b97ce3d26426425,g170,4
mubawab.ma:content:c33a0d992fb1663c50a042e7,g171,2
mubawab.ma:content:666a92d8420dff00727ddf12,g174,4
mubawab.ma:content:2827da6332b19f61019f7854,g175,0
mubawab.ma:content:6fa71d329fb384d3a80e2d1d,g177,3
mubawab.ma:content:80a22f9038e50ef84644f598,g178,4
mubawab.ma:content:d624499822cfdad4869f10bf,g180,3
mubawab.ma:content:e90ae8de85ecab8c2b4e8b5e,g181,3
mubawab.ma:content:c9ce1e0f9a1b8b61100271b1,g182,0
mubawab.ma:native:8316513,g184,3
mubawab.ma:content:42670915d44b83e85b624ed9,g185,3
mubawab.ma:content:6f276f7d4662999295c90319,g187,4
mubawab.ma:content:0c04c882386122c6b44d0831,g190,4
mubawab.ma:native:8402966,g193,0
mubawab.ma:content:8e95d29cf259ec76003add4f,g194,4
mubawab.ma:content:a755b5030ecb4b95a9ad1c58,g195,2
mubawab.ma:content:e73b99dfa1184ceea3876c68,g196,4
mubawab.ma:content:0aef3395e6afa767ad784c95,g197,1
mubawab.ma:content:b4c05fee2e5e5c0365340eb2,g200,2
mubawab.ma:native:8381318,g201,4
mubawab.ma:content:eed951ac85437d6b8c5cd3c5,g202,0
mubawab.ma:native:8297272,g209,0
mubawab.ma:native:8262456,g210,3
mubawab.ma:content:78eaa063b96e79ad576da05c,g214,4
mubawab.ma:content:c86491dafba6c61caedd9ce4,g216,3
mubawab.ma:native:8339219,g217,4
mubawab.ma:content:b60ecdfa27a1594539857de0,g218,0
mubawab.ma:content:93b96357dcba63c0336d09dc,g220,2
mubawab.ma:native:8407394,g221,3
mubawab.ma:content:212a2aae013ab9144c7de102,g222,0
mubawab.ma:content:a1ac5ab3c6e2c0fa50e46bcd,g223,0
mubawab.ma:content:de915185e2b3664e91b8e8d3,g224,0
mubawab.ma:content:f27cc029ece7cb650ae0e15a,g225,3
mubawab.ma:content:27cf12fdfc4aab9f95dfeabb,g226,2
mubawab.ma:content:0b709144bae5503c060a53f4,g227,1
mubawab.ma:native:8388979,g229,4
mubawab.ma:content:0839e0a4dcce17cc7db7de9e,g230,3
mubawab.ma:native:8268810,g234,3
mubawab.ma:native:8283429,g235,3
mubawab.ma:native:8354791,g237,3
mubawab.ma:content:3b5d3ac5624d30e6a5419de6,g238,1
mubawab.ma:content:731c1cc6c54ef02debdb7552,g240,1
mubawab.ma:content:346665b6ab8a442a4ced7f7e,g243,4
mubawab.ma:content:de072e473c1cd88177eac789,g245,2
mubawab.ma:native:8387965,g246,1
mubawab.ma:native:7244298,g247,0
mubawab.ma:native:8385415,g248,2
mubawab.ma:native:8394245,g249,3
mubawab.ma:content:576a17d7c5396897d2c8743c,g251,4
mubawab.ma:native:8372655,g253,1
mubawab.ma:content:ce1a781dc370747dbea5ea72,g255,0
mubawab.ma:native:8381070,g258,3
mubawab.ma:native:8327749,g261,3
mubawab.ma:native:8381264,g262,0
mubawab.ma:content:2fd5832c7fcc4187b0535e70,g263,1
mubawab.ma:content:63c4706b5fc44be9295c63e8,g264,0
mubawab.ma:content:56f212af3e8b5ce57980051e,g266,2
mubawab.ma:url:0a654efedb41a0f1d6fb76cb,g268,4
mubawab.ma:content:05b13d852ffda47bb69c5f75,g269,1
mubawab.ma:content:ffdfeed6c8169bba3a152d3f,g270,1
mubawab.ma:native:8402313,g271,2
mubawab.ma:content:3f2893b680d13943895057b6,g273,4
mubawab.ma:content:e969a7b01e398c68bd626d8f,g276,3
mubawab.ma:content:0b6eab9af4ced040661721db,g277,3
mubawab.ma:content:9b9b425ccc9d681b1d5b9e94,g278,4
mubawab.ma:url:e4885b4f65e8548b3b220b83,g280,1
mubawab.ma:content:474795d3f3d696446f5f94ed,g281,4
mubawab.ma:content:ee8016c8ab975376f0b7734e,g286,1
mubawab.ma:content:8d05f66d9b895057b8d88e30,g287,4
mubawab.ma:content:fc39fff959dd833c3f51fd59,g290,0
mubawab.ma:native:8407369,g292,0
mubawab.ma:native:8389765,g294,2
mubawab.ma:content:3e814f8670268ba1073f673f,g295,3
mubawab.ma:content:86103d7530b299fe54e0e08f,g296,0
mubawab.ma:content:7b148fb51f926780ef5960ef,g297,1
mubawab.ma:content:3253dc36f080155bb1c45a96,g301,4
mubawab.ma:content:bb537070899093142ecb9974,g302,0
mubawab.ma:content:c188a3d241711b90944d62ff,g303,1
mubawab.ma:content:829ed7c44d3e000114f47ba1,g305,3
mubawab.ma:content:518017176d37a57cbeff63f7,g306,2
mubawab.ma:content:86785a76057b1467462097c4,g308,2
mubawab.ma:content:99e4d6266e55c94f62766295,g309,4
mubawab.ma:content:7134728d07b814f367f58150,g311,3
mubawab.ma:content:4e8fccdcbb91e2e3e36b68d1,g312,2
mubawab.ma:content:917257a221b18979cedb139a,g314,4
mubawab.ma:content:90f9c35aa783004879ef985c,g317,0
mubawab.ma:url:ef92731a70b8dff96be06c75,g318,1
mubawab.ma:content:30e8e5d025cb65b3213d84e7,g321,1
mubawab.ma:content:c610358bb72417c09cf54fe0,g326,0
mubawab.ma:content:16e33bbac95850b93d1bfc5a,g327,2
mubawab.ma:content:10c92aa671e7fd7477014c6c,g328,4
mubawab.ma:content:ff4ec6eedf4287e054df4748,g330,3
mubawab.ma:content:57b80abd18372ed6daf12191,g333,3
mubawab.ma:content:b837b336c97a541456bf8dee,g334,4
mubawab.ma:content:f9042409770429b20941c2ae,g335,4
mubawab.ma:content:21cb561b766563a1f118540f,g336,2
mubawab.ma:content:b3cdf5bf894ac1c1f7b686c5,g92,1
mubawab.ma:content:7b1fc366c7bb14fc3cd8bb06,g339,3
mubawab.ma:content:1c187c00990913f0c62969bf,g341,0
mubawab.ma:content:e465d8953b36176a02dac6dc,g343,0
mubawab.ma:content:8fff5dc2305ae22060bbe41d,g345,2
mubawab.ma:content:de27b8135631299ea41b59a3,g349,2
mubawab.ma:content:6fa38b873d67213b180823cf,g350,2
mubawab.ma:content:7962e7cb624eae7cea0827c4,g351,3
mubawab.ma:native:8388733,g352,2
mubawab.ma:content:a70f628ca9efaf3bcbf8ed6e,g355,4
mubawab.ma:native:8232396,g357,0
mubawab.ma:content:8585463abd5953ca103e90a7,g359,0
mubawab.ma:content:cf7e64a69c5106fe7e8f4492,g363,4
mubawab.ma:native:7705530,g364,4
mubawab.ma:content:fc455600ea06abcbd06e5974,g365,3
mubawab.ma:content:b987c149d347bcd0f7f99e48,g7,2
mubawab.ma:native:8258597,g370,1
mubawab.ma:content:cf11fa82487a9555827f4846,g371,2
mubawab.ma:content:c73cefe0ab52e137f292715c,g372,3
mubawab.ma:native:8377966,g374,0
mubawab.ma:content:10fec1ef194db5399601707d,g375,4
mubawab.ma:content:edb56823b57f95836feca44e,g376,0
mubawab.ma:native:8387796,g377,4
mubawab.ma:content:e762bd406ba0b06a10d3349f,g382,4
mubawab.ma:content:9eb67788dfbdb5c0d8246302,g383,0
mubawab.ma:content:0a1b626251b090e0f11afb51,g385,1
mubawab.ma:content:e14a276de9205a9dad50abd5,g387,1
mubawab.ma:content:60bb8988746b16cc7e4c90db,g388,0
mubawab.ma:content:cc743615fedc6f9e37ac0bff,g390,0
mubawab.ma:native:8212485,g391,1
mubawab.ma:native:8353039,g392,0
mubawab.ma:content:f2b8d616a6ba128edfe1366a,g393,0
mubawab.ma:content:4776c9ca8c5cf11e704b084f,g394,3
mubawab.ma:native:8325961,g396,4
mubawab.ma:content:c031cccce9ffcb3bb2fe7929,g397,1
mubawab.ma:content:fbcf0a612753b1709a3dd73b,g400,2
mubawab.ma:content:19258e83c9f9538872932e72,g401,2
mubawab.ma:content:4d64849b7db0a2300ff1e78a,g402,1
mubawab.ma:native:8337024,g406,2
mubawab.ma:content:059ee9936532ec52ada8bb91,g407,2
mubawab.ma:native:8380015,g408,3
mubawab.ma:content:d31fdc2da50f8c5bcd7aee93,g409,2
mubawab.ma:content:4ca15e573f9dcd881645667c,g410,1
mubawab.ma:content:1d234adec58e45b60af60379,g411,0
mubawab.ma:content:1a3c2aac67cfe3edf70ff17c,g412,4
mubawab.ma:content:0ff578d8f3099bea1c3f6772,g392,0
mubawab.ma:content:e06cf8594b23c8a8c0523785,g414,1
mubawab.ma:content:445a493531957a54d520cb1d,g415,2
mubawab.ma:content:02330d25a085b6aeec4dcbaf,g416,4
mubawab.ma:content:304395ff5f4fd1fdc42aa1b0,g417,3
mubawab.ma:content:532b106aa38ce2c26b2eeb4f,g418,3
mubawab.ma:native:8364057,g222,0
mubawab.ma:content:ed1ca56fce7a7129282870f7,g420,0
mubawab.ma:native:8352964,g421,4
mubawab.ma:native:8399412,g423,1
mubawab.ma:content:5009d434d799575cfeedb5f0,g425,1
mubawab.ma:native:8349357,g427,3
mubawab.ma:content:31b29811e5c51693d6148489,g428,2
mubawab.ma:native:8360465,g429,4
mubawab.ma:content:132f19f7ea714bcb9c77f6ea,g431,2
mubawab.ma:content:9afa430b23e4b69a39ca0caf,g435,3
mubawab.ma:content:f0cbe7ee7ce7af1dfa95a6d7,g436,4
mubawab.ma:content:6cd8308c81210344d87d6681,g437,0
mubawab.ma:content:b60ac166f5ade4d329b569ca,g438,4
mubawab.ma:native:8261090,g441,0
mubawab.ma:content:38b1feb3fe98e30da5ff8976,g443,4
mubawab.ma:content:7e1f2d89da10f0fe8aed21f3,g444,3
mubawab.ma:content:2dd368f5eb535b54f23978f7,g447,2
mubawab.ma:native:8375250,g449,4
mubawab.ma:native:8404530,g452,1
mubawab.ma:content:fc405cf917e6c2af6b61378b,g453,1
mubawab.ma:native:8278531,g280,1
mubawab.ma:url:d4f942410eacef53f27fa326,g84,4
mubawab.ma:content:dc446328ca5fe66c84f3163a,g458,2
mubawab.ma:content:1e6674a89bda84ad0119a929,g459,2
mubawab.ma:native:8327786,g463,3
mubawab.ma:content:77e7e9d65523c94d0db1bc58,g464,0
mubawab.ma:content:2c3a9fb5d26351bd1e0f5280,g465,1
mubawab.ma:native:8187989,g181,3
mubawab.ma:content:bd83ff8fcf8debcea89fe440,g370,1
mubawab.ma:content:12259e0f3ea19b3616af6b1a,g468,3
mubawab.ma:native:8372029,g471,4
mubawab.ma:content:64e44573c3c5ba6b563f2277,g472,1
mubawab.ma:native:8391763,g473,3
mubawab.ma:content:78866d93005dfaf6526519fa,g474,3
mubawab.ma:native:8219163,g477,0
mubawab.ma:content:2878714e5b776d8d4648f858,g478,4
mubawab.ma:content:ef35942607431b3719b7a560,g479,0
mubawab.ma:content:2e159cf2d54f1d74842afeed,g66,1
mubawab.ma:content:308d471d3fe86cae10fab297,g481,4
mubawab.ma:native:8363477,g482,1
mubawab.ma:content:140a699da10f0f2736b1238e,g484,0
mubawab.ma:content:a3890378db35728cdc2d60b2,g485,3
mubawab.ma:content:621f8116660809b601897cda,g488,0
mubawab.ma:native:8258747,g489,1
mubawab.ma:content:ba0e43cc1032246e7ce0d8f1,g490,0
mubawab.ma:native:8378880,g491,4
mubawab.ma:content:cdcb9b32dea3804002fcf51d,g493,0
mubawab.ma:content:946b4b7ed2f6b0226d0c9f4f,g495,3
mubawab.ma:content:df7969b2293ec508160c07b0,g498,2
mubawab.ma:content:49365618cd0fce5b6a419b9e,g500,2
mubawab.ma:content:9f3e6acee774cf3949468554,g502,3
mubawab.ma:content:82f6d888dadda52aedd2175b,g503,4
mubawab.ma:native:8406755,g505,3
mubawab.ma:native:8238099,g506,4
mubawab.ma:content:5cfe089818b202b0c5082b7b,g507,2
mubawab.ma:content:19c7c4c0eaefb69f57b6a94d,g509,4
mubawab.ma:content:592322ec9f9740804bae4e7f,g511,3
mubawab.ma:content:1a7e80d99d67a2707c2898f5,g518,0
mubawab.ma:native:8345855,g238,1
mubawab.ma:content:e410edc70db07647f278aa4d,g520,4
mubawab.ma:content:5407890f0a996ea31b6b3a87,g522,2
mubawab.ma:content:9116c4085f1d52477d53b548,g527,2
mubawab.ma:native:8393395,g529,4
mubawab.ma:content:941ebd825002b5ba97716350,g530,4
mubawab.ma:content:406b77e1dad722cb6aaeddb5,g533,2
mubawab.ma:content:8e8ed39b77aed16f69116949,g536,2
mubawab.ma:native:8257355,g537,1
mubawab.ma:content:0036d19eb5b3b3262c7661bc,g538,2
mubawab.ma:content:26afc22906796747ac9e14ed,g540,1
mubawab.ma:content:cf7668ee093fbd78903f6518,g542,4
mubawab.ma:url:06d08ead36e6f3c1ee541738,g543,2
mubawab.ma:content:6fa81d6d234ddbd215b92eaa,g545,4
mubawab.ma:content:934deb4b734fa17842de1c40,g547,3
mubawab.ma:url:038a05c270812cab92c72513,g551,2
mubawab.ma:content:988561aadffa16c2bfc0d839,g552,0
mubawab.ma:content:401aecbb4771e5b3d604dced,g554,0
mubawab.ma:content:3da1ac7ab84b6b8391c9d872,g555,1
mubawab.ma:content:23d72a3252075c6ae51f5ca2,g557,3
mubawab.ma:content:4198ac1f45077401ded79ea2,g558,2
mubawab.ma:content:445f15276428e625bf6daef0,g370,1
mubawab.ma:content:45cd818909b670cb459b7ced,g560,4
mubawab.ma:content:6aff5e78915d7ac25e3eb029,g563,4
mubawab.ma:content:3b59da08e04b1d119e3749c5,g566,4
mubawab.ma:content:2723ae71fe28287ca10f8917,g567,1
mubawab.ma:content:78d1c642c723265eece21f4f,g568,2
mubawab.ma:content:3e7fd41f52897d6a52beede4,g569,4
mubawab.ma:content:387291b0825c6049d36f2018,g573,2
mubawab.ma:content:501235a76059abd12f7dfc96,g575,0
mubawab.ma:content:a458558a6fa442850975d026,g303,1
mubawab.ma:native:8395442,g577,4
mubawab.ma:content:8e62f7bdbaee3686898c8350,g580,2
mubawab.ma:content:7696a6b0d2c82d9a531b1a53,g581,4
mubawab.ma:content:3387b17ff5f4f033c938565c,g582,0
mubawab.ma:content:44a794f52b9b384e115453c6,g583,3
mubawab.ma:content:9e1a0f0be2548dedcade58de,g584,2
mubawab.ma:native:8382859,g585,0
mubawab.ma:content:0e95a95000a1433204809a5c,g586,4
mubawab.ma:native:8395901,g587,1
mubawab.ma:content:5a3b68c5c7bf6a50fe147855,g589,0
mubawab.ma:content:1029ab79e719216ff14bc966,g590,4
mubawab.ma:content:56479857bf51adb0f3e7234f,g591,2
mubawab.ma:content:7180edac36e0d9c26c8b77b2,g594,1
mubawab.ma:content:d5d6d4e22273f56e851d92f9,g599,3
mubawab.ma:native:8352398,g604,0
mubawab.ma:content:a5bd21f976312be713922dde,g605,3
mubawab.ma:content:eb233fde18654f459dccb971,g587,1
mubawab.ma:content:e3ba7eabcf900998cd100c26,g607,0
mubawab.ma:content:d6f56166ceaade076497b44f,g608,2
mubawab.ma:content:d199d070bcdc967c34082e36,g609,1
mubawab.ma:content:3a09c0dc170cd9aa869cbd18,g614,2
mubawab.ma:content:1db3b6b3f2ac702d139bc0c9,g616,1
mubawab.ma:content:987c5aef9a179cc3704719c1,g617,2
mubawab.ma:content:46a2f683462622af50c8c57f,g618,4
mubawab.ma:content:94877e3b11e11744ca6b1275,g620,4
mubawab.ma:content:74db3e1e94df0715222dd988,g623,0
mubawab.ma:native:8400608,g624,1
mubawab.ma:content:c7dda33f0a3c10d15ee5750f,g626,4
mubawab.ma:content:fcb9eafb1ee73682675b323b,g627,4
mubawab.ma:content:5966646edf75f0c8fec2f382,g631,1
mubawab.ma:content:7619fc070ec506204715656e,g632,0
mubawab.ma:content:3144703a1dbdf6a61ccaa57b,g633,0
mubawab.ma:content:efd8aa5db53412f077fdf136,g634,3
mubawab.ma:content:14f45ae5aa5f72643ade3f65,g222,0
mubawab.ma:content:188279b86f31dace4eae2133,g637,2
mubawab.ma:content:8373ce094b5b7dd6e529d643,g639,0
mubawab.ma:content:b5d79b73f0992b88ea5636a9,g640,4
mubawab.ma:content:96b9eb2f231ef4e9e074e6ed,g641,0
mubawab.ma:content:ef98220583a7508283cb39c7,g643,0
mubawab.ma:content:8fba517db81da17ce802ae0e,g649,4
mubawab.ma:native:8369674,g650,3
mubawab.ma:native:8383674,g655,4
mubawab.ma:content:cb47f435d9e2511d2100734f,g657,2
mubawab.ma:content:c22c5361e76d3bc6defe7fbc,g261,3
mubawab.ma:content:fa2af3ea44eb3d551c2881c5,g303,1
mubawab.ma:content:92a841c3cb3b4150d526a93f,g663,1
mubawab.ma:native:8405827,g664,1
mubawab.ma:content:4699c0433161fe2cf00662bf,g665,2
mubawab.ma:content:2039cf64ada6382df56354bd,g666,0
mubawab.ma:content:dd281809f052f9ab9f405faa,g670,2
mubawab.ma:content:88d4eba5ef693c5ddcf258c0,g672,3
mubawab.ma:content:1a60ec4c9bd0cfd0229dc30a,g675,3
mubawab.ma:content:327d0916bdb7e319327e6404,g676,3
mubawab.ma:native:8095783,g677,4
mubawab.ma:content:d299a803faf508aabecea446,g678,3
mubawab.ma:content:97b3be17fd6f6fe403cb2f09,g680,4
mubawab.ma:content:586afe1fa8402d60ff05fe16,g686,3
mubawab.ma:content:17db60e746e9e6ca12883942,g687,3
mubawab.ma:content:f992d702986bf6ecb42263d2,g688,1
mubawab.ma:native:8376597,g690,4
mubawab.ma:content:7cc79e5ee742c600df922fde,g692,2
mubawab.ma:native:8271263,g695,4
mubawab.ma:content:1121701fed7e1b4cff574dd3,g696,1
mubawab.ma:content:0f3729f800dd255ff1e2d865,g697,0
mubawab.ma:content:3f567de145a71ab7a29787c9,g698,0
mubawab.ma:content:c919eeb8254e895280134048,g701,3
mubawab.ma:native:8146272,g704,2
mubawab.ma:native:8214647,g708,4
mubawab.ma:content:04551e057a4aac80721c158c,g709,3
mubawab.ma:native:8406438,g711,1
mubawab.ma:content:86171419182cfe025baceac4,g713,1
mubawab.ma:native:8249806,g714,1
mubawab.ma:content:501810fafe712095d4e8e2e3,g428,2
mubawab.ma:native:8273081,g718,2
mubawab.ma:content:f88b7185e8a5f839fbca306e,g719,3
mubawab.ma:content:2d0f3ea83c9004c8661e9e13,g721,4
mubawab.ma:native:8315532,g724,4
mubawab.ma:content:ff92e6106bf25244827d8a64,g725,2
mubawab.ma:content:45c4f830e0c234f164bca35f,g726,3
mubawab.ma:content:75cf7525d5680b7be9f41cf9,g727,0
mubawab.ma:native:8261533,g728,0
mubawab.ma:content:1e183d424658e7499cac8c48,g731,3
mubawab.ma:content:10e701b919f48b82a90ea898,g732,2
mubawab.ma:content:03c9acc2fba8d0e76a7c9fa2,g733,1
mubawab.ma:content:117c53a93e7db63f092433f9,g735,0
mubawab.ma:content:483fbd926ef8c37bc95a67fb,g737,2
mubawab.ma:content:ef8bfad0e353695ce24f75b0,g738,2
mubawab.ma:content:5290f70a9e484ebe98a0c15c,g740,4
mubawab.ma:content:c7320c4480a2aa184fb72694,g741,0
mubawab.ma:content:8cac57c6fc41591c51016008,g463,3
mubawab.ma:content:6729dee213a000fdbcfff6d0,g744,0
mubawab.ma:native:8005594,g745,4
mubawab.ma:content:71746fae685749dd5dfe7792,g746,4
mubawab.ma:content:e39d277845bd7ea2fff724fd,g748,2
mubawab.ma:content:369f1142c28fc8a13db9d0a9,g749,1
mubawab.ma:native:8327961,g750,0
mubawab.ma:content:87fd47d3c6242f1e0ee5038f,g748,2
mubawab.ma:native:8274600,g752,1
mubawab.ma:native:8138091,g753,4
mubawab.ma:content:a213a0d0871cf3f6188d140d,g754,4
mubawab.ma:content:06e2a85ca9399648b3ed1618,g757,2
mubawab.ma:native:8353240,g761,1
mubawab.ma:content:c5bdbdee559314181ca79cdb,g762,4
mubawab.ma:content:82f4b4292cfbd2fb53b697d5,g767,4
mubawab.ma:native:8397404,g768,2
mubawab.ma:content:71cfee8cc7392e0404a4ad07,g769,0
mubawab.ma:content:cf3f4dd088bde05009b930e8,g770,4
mubawab.ma:content:229e6e18dfe8e65df8ff2a46,g772,0
mubawab.ma:content:dbed93d50d9ed2370ed60b19,g774,3
mubawab.ma:native:8401361,g776,3
mubawab.ma:content:86d5c0403c9891b93db2dc90,g780,4
mubawab.ma:content:dc0da89a0e618fb6137d3dd1,g781,1
mubawab.ma:content:0758cee94b6b1aba924fa47c,g782,0
mubawab.ma:content:7339e151ab51b073237c5015,g783,4
mubawab.ma:content:93af72f9c4da9778c3ab1a10,g784,0
mubawab.ma:content:b1533a6a40d09f12ae00d3f7,g786,2
mubawab.ma:native:8337010,g787,1
mubawab.ma:content:a76bd0bc4745709704092a91,g789,0
mubawab.ma:content:3651928276821d1becec19a5,g790,1
mubawab.ma:content:56feed8f84c13d89f98c9796,g791,4
mubawab.ma:native:7674203,g792,3
mubawab.ma:content:a396a34feaef4b771a4aad02,g793,2
mubawab.ma:content:90d9bd48348311cecc30c720,g796,3
mubawab.ma:content:4e56c18ada45de89e3d295ec,g798,4
mubawab.ma:content:00582d7d0d304568a65aa85e,g801,0
mubawab.ma:content:f93ee358ebd0543911dfab6e,g803,4
mubawab.ma:content:4f2226a9157931dfad80740a,g805,1
mubawab.ma:content:298c60375c5d903b4cb6ec91,g290,0
mubawab.ma:content:0f1e059df87158b5bcd8bb1e,g811,4
mubawab.ma:content:9bcb39d75280677dce46bb3d,g812,1
mubawab.ma:content:fe9a7000495425d24c18dc90,g813,4
mubawab.ma:content:47496bdd491bc771700bda35,g370,1
mubawab.ma:content:c3e09350c396834357d05404,g817,3
mubawab.ma:content:7fb21fa4bad8f2a2cd24496c,g818,2
mubawab.ma:native:8268387,g821,1
mubawab.ma:content:37a8bafc1f372060540fee17,g823,0
mubawab.ma:native:8344123,g825,2
mubawab.ma:content:b337fcd0283aae3179da2b4c,g826,2
mubawab.ma:native:8069824,g827,4
mubawab.ma:content:79a5703e5ae2f53e8f067c7a,g828,0
